# NuKEXC W4-11 sweep
# param alg = tiled
# param conv_thr = 1e-7
# param dens_thr = (binary default)
# param lin_dep = 1e-4
# param method = dft
# param nang = 35
# param nrad = 100
# param open_conv_thr = 1e-6
# param open_freeze_occ = 1e-3
# param pruning = robust
# param radial = (binary default)
# param xfunc = gga_xc_b3lyp3
# param bases = DZ TZP TZ2P
# params_hash = 47bf2d3261
# binary = /users/schreinb/NuKEXC/build/tests/standalone
# dataset = /users/schreinb/NuKEXC/input/W4-11
# basis_root = /users/schreinb/NuKEXC/input/zorabasis_cholesky
# date_utc = 2026-07-29T21:17:11Z
# cmdline = benchmark_w411.py --alg tiled --bases DZ TZP TZ2P --species bf c2h4 cl2o co n2h4 n2o p4 so t-hooo b2h6 --out tiled
# conv_thr/freeze_occ columns are the per-species values actually used (open-shell species differ).
# Startup/Fock timing columns are seconds, summed over the whole run (all Fock builds).
basis,species,charge,multiplicity,conv_thr,freeze_occ,converged,nbf,nbf_aux,nquad,nelec,energy,n_fock,t_startup,t_fock,t_scf,t_total,startup:Auxiliary Coulomb overlap (tiled),startup:Build molecular grid,startup:Build neighbor lists (sparse),startup:Copy core matrices to host (arma),startup:Core Hamiltonian (T + V_ne + S),startup:GWH initial guess,startup:Half-inverse of auxiliary overlap,startup:Load basis sets,startup:Nuclear repulsion energy,startup:Orthogonalization matrix X = S^-1/2,startup:Read XYZ,startup:Resolve/init XC functionals,fock:Build density matrices,fock:Coulomb (J) build,fock:Energy assembly,fock:Exact exchange (hybrid) build,fock:Exchange functional (Vx),fock:Fock assembly + orthogonalization,fock:Host->device transfer of orbitals
DZ,b2h6,0,1,1e-7,0,1,32,102,225046,16,-53.2215909231,9,0.1029,6.3180,5.6228,7.0175,0.0190,0.0119,0.0083,0.0001,0.0048,0.0001,0.0468,0.0077,0.0001,0.0022,0.0018,0.0001,0.0000,0.0986,0.0000,3.3664,2.8512,0.0000,0.0018
DZ,bf,0,1,1e-7,0,1,20,84,58651,14,-124.5897718861,11,0.0704,1.5208,1.4090,2.0946,0.0045,0.0064,0.0048,0.0000,0.0033,0.0001,0.0451,0.0027,0.0001,0.0016,0.0018,0.0000,0.0000,0.0287,0.0000,0.6202,0.8697,0.0000,0.0022
DZ,c2h4,0,1,1e-7,0,1,28,94,171692,16,-78.5277362417,10,0.0906,4.8290,4.3553,5.3648,0.0122,0.0108,0.0068,0.0001,0.0046,0.0001,0.0467,0.0055,0.0001,0.0017,0.0019,0.0001,0.0000,0.0719,0.0000,2.3730,2.3821,0.0000,0.0020
DZ,cl2o,0,1,1e-7,0,1,46,196,87860,42,-995.3003674791,12,0.1043,12.0300,11.0832,12.6107,0.0216,0.0072,0.0065,0.0001,0.0038,0.0001,0.0554,0.0045,0.0001,0.0030,0.0019,0.0001,0.0000,0.1005,0.0000,9.2168,2.7103,0.0000,0.0024
DZ,co,0,1,1e-7,0,1,20,83,58638,14,-113.2171881788,14,0.1957,1.9674,1.8834,2.9545,0.0045,0.0128,0.0047,0.0000,0.0053,0.0010,0.1560,0.0038,0.0001,0.0013,0.0023,0.0039,0.0000,0.0367,0.0000,0.7824,1.1455,0.0000,0.0028
DZ,n2h4,0,1,1e-7,0,1,28,96,171984,18,-111.7590887686,10,0.0884,4.8500,4.3881,5.3812,0.0120,0.0098,0.0067,0.0001,0.0045,0.0001,0.0453,0.0060,0.0001,0.0018,0.0019,0.0001,0.0000,0.0718,0.0000,2.4139,2.3623,0.0000,0.0020
DZ,n2o,0,1,1e-7,0,1,30,126,87532,22,-184.4798188603,16,0.0867,5.3612,5.2037,6.0610,0.0115,0.0073,0.0064,0.0001,0.0037,0.0001,0.0497,0.0036,0.0001,0.0023,0.0018,0.0001,0.0000,0.0734,0.0000,2.9375,2.3471,0.0000,0.0032
DZ,p4,0,1,1e-7,0,1,72,308,117564,60,-1365.0738659958,8,0.1571,27.6288,24.2244,28.2724,0.0569,0.0082,0.0069,0.0001,0.0075,0.0001,0.0647,0.0057,0.0001,0.0050,0.0018,0.0001,0.0008,0.1290,0.0000,23.7125,3.7840,0.0008,0.0017
DZ,so,0,3,1e-6,1e-3,1,28,119,58724,24,-473.2072085232,12,0.0780,2.6056,2.4515,3.1686,0.0075,0.0067,0.0051,0.0001,0.0034,0.0001,0.0476,0.0035,0.0001,0.0020,0.0018,0.0001,0.0000,0.0399,0.0000,1.3813,1.1820,0.0000,0.0024
DZ,t-hooo,0,2,1e-6,1e-3,1,32,129,116466,25,-225.8914618412,18,0.0896,8.2788,8.0342,9.0152,0.0143,0.0081,0.0063,0.0000,0.0043,0.0001,0.0475,0.0042,0.0001,0.0028,0.0018,0.0001,0.0000,0.1227,0.0000,4.6627,3.4898,0.0000,0.0036
