# H2+ core-Hamiltonian ground-state (lowest MO) energy vs grid
# comparing radial schemes: Becke vs Treutler-Ahlrichs (M4)
# molecule: H2+, two H atoms at x=0 and x=1 bohr
# basis: QZ4P (ADF Slater-type, input/zorabasis/QZ4P)
# angular quadrature (both schemes): Lebedev-Laikov
# E_ref = mean of the two radial schemes on the finest grid (shared, unbiased self-reference; NOT analytic):
#   nrad_ref=640, nang_order_ref=41
#   E_ref_Becke=-1.45175161440509, E_ref_M4=-1.45175161440438, |diff|=7.12097047994575e-13
#   E_ref=-1.45175161440473 Ha
# abs_error = |gs_energy - E_ref|
scheme,nrad,nang_order,npts,gs_energy,abs_error
Becke,10,5,274,-1.45833845723806,0.00658684283332645
Becke,10,9,754,-1.44942730022045,0.0023243141842848
Becke,10,11,994,-1.44812818087871,0.00362343352602235
Becke,10,17,2194,-1.44815599185755,0.00359562254718471
Becke,10,23,3874,-1.44815581491155,0.0035957994931799
Becke,10,29,6034,-1.44815582420085,0.00359579020388856
Becke,20,5,548,-1.46376539046695,0.0120137760622154
Becke,20,9,1508,-1.45308398032667,0.00133236592193264
Becke,20,11,1988,-1.45182539492143,7.37805166923788e-05
Becke,20,17,4388,-1.45183266341775,8.10490130129793e-05
Becke,20,23,7748,-1.45183181364038,8.01992356489478e-05
Becke,20,29,12068,-1.45183181317885,8.01987741172461e-05
Becke,40,5,1094,-1.4638180512234,0.0120664368186647
Becke,40,9,3014,-1.45300614603717,0.0012545316324335
Becke,40,11,3974,-1.45175439044186,2.77603712262042e-06
Becke,40,17,8774,-1.45175187193584,2.57531101777175e-07
Becke,40,23,15494,-1.4517519021721,2.87767364381963e-07
Becke,40,29,24134,-1.45175189857582,2.84171087328033e-07
Becke,80,5,2188,-1.46381695300069,0.0120653385959577
Becke,80,9,6028,-1.45300591945173,0.00125430504699242
Becke,80,11,7948,-1.45175416398138,2.54957664691524e-06
Becke,80,17,17548,-1.45175162009638,5.69164471109218e-09
Becke,80,23,30988,-1.45175161693847,2.53373189096351e-09
Becke,80,29,48268,-1.45175161691444,2.50970089155089e-09
Becke,160,5,4374,-1.46381695813254,0.0120653437278007
Becke,160,9,12054,-1.4530059178831,0.00125430347836586
Becke,160,11,15894,-1.45175416274679,2.54834205759558e-06
Becke,160,17,35094,-1.45175161791236,3.5076288540381e-09
Becke,160,23,61974,-1.45175161458933,1.84591231189302e-10
Becke,160,29,96534,-1.45175161458086,1.76128445161794e-10
Becke,320,5,8748,-1.46381695804622,0.0120653436414819
Becke,320,9,24108,-1.45300591772742,0.00125430332268062
Becke,320,11,31788,-1.45175416259573,2.54819099709813e-06
Becke,320,17,70188,-1.45175161775042,3.34568484028352e-09
Becke,320,23,123948,-1.45175161442482,2.00828242924445e-11
Becke,320,29,193068,-1.45175161441529,1.05513375814326e-11
M4,10,5,270,-1.46741008778071,0.0156584733759744
M4,10,9,750,-1.45754149055852,0.0057898761537869
M4,10,11,990,-1.4562266338701,0.00447501946536133
M4,10,17,2190,-1.45622572934944,0.00447411494470029
M4,10,23,3870,-1.45622578690145,0.004474172496713
M4,10,29,6030,-1.45622583832978,0.0044742239250497
M4,20,5,542,-1.4638615902665,0.0121099758617687
M4,20,9,1502,-1.45302452943673,0.00127291503199412
M4,20,11,1982,-1.45177532021912,2.37058143850444e-05
M4,20,17,4382,-1.451776185741,2.45713362616584e-05
M4,20,23,7742,-1.45177596995074,2.43555460093248e-05
M4,20,29,12062,-1.45177594163031,2.43272255773253e-05
M4,40,5,1082,-1.4638168675626,0.0120652531578636
M4,40,9,3002,-1.45300590914634,0.00125429474160077
M4,40,11,3962,-1.45175415940425,2.54499951735099e-06
M4,40,17,8762,-1.45175160696488,7.43985406614911e-09
M4,40,23,15482,-1.45175159729426,1.71104768131869e-08
M4,40,29,24122,-1.4517515966176,1.77871355422354e-08
M4,80,5,2166,-1.46381695061586,0.0120653362111247
M4,80,9,6006,-1.453005916591,0.00125430218626632
M4,80,11,7926,-1.45175416136046,2.54695572921015e-06
M4,80,17,17526,-1.45175161725562,2.85088908036357e-09
M4,80,23,30966,-1.45175161409859,3.06149772200115e-10
M4,80,29,48246,-1.45175161415263,2.52107446030436e-10
M4,160,5,4332,-1.46381695794323,0.0120653435384912
M4,160,9,12012,-1.45300591770192,0.00125430329718346
M4,160,11,15852,-1.45175416257576,2.54817102129934e-06
M4,160,17,35052,-1.4517516177324,3.3276679189953e-09
M4,160,23,61932,-1.45175161440723,2.4953372701475e-12
M4,160,29,96492,-1.45175161439793,6.80411282871773e-12
M4,320,5,8662,-1.46381695803274,0.0120653436280003
M4,320,9,24022,-1.45300591771574,0.00125430331100684
M4,320,11,31702,-1.45175416258436,2.54817962197507e-06
M4,320,17,70102,-1.45175161773898,3.33424376997016e-09
M4,320,23,123862,-1.45175161441336,8.62887539199164e-12
M4,320,29,192982,-1.45175161440383,9.07274255723678e-13
