# Adaptive-grid accuracy-per-point study on water (unrestricted HF energy terms)
# radial scheme: TA-M4 ; angular: Lebedev-Laikov ; basis: QZ4P (+QZ4P fit)
# knobs: pruning (Unpruned/Robust) x radial sizing (Uniform/PySCF per-period)
# grid levels sweep (nrad, nang_order) together so curves converge
# observables (converged UHF, Ha): E_kin = Tr[D T] ; E_ne = Tr[D V_ne] ; E_J = 1/2 Tr[D J] ; E_K = -1/2 Tr[D K] (exact exchange) ; E_scf = E_nuc_rep + E_kin + E_ne + E_J + E_K
# resolution: hi-res (GPU, NUKEXC_HIRES=1)
# provenance: transcribed from the GPU run stdout of tests/convergence_adaptive.cxx (only the
#   absolute per-term errors were printed, so the raw per-row energies are not recorded here;
#   re-running the test regenerates this file with full precision and raw energy columns)
# reference = fine uniform unpruned grid (shared self-reference, NOT analytic):
#   nrad_ref=1000, nang_order_ref=50, npts_ref=2917774, E_kin_ref=75.9976267410, E_ne_ref=-199.0472994426, E_J_ref=46.7402184304, E_K_ref=-8.9450726577, E_scf_ref=-76.0667767173 Ha
# err_* = |value - reference| ; npts = total grid points used
combo,nrad,nang_order,npts,err_kin,err_ne,err_J,err_K,err_total
uniform,40,17,13180,1.658e-03,5.999e-04,1.109e-03,2.609e-04,1.907e-03
uniform,60,21,30568,1.072e-04,1.410e-04,9.941e-05,3.150e-06,1.364e-04
uniform,90,28,81376,3.279e-05,6.585e-05,3.842e-05,7.288e-06,1.926e-06
uniform,130,29,117542,3.563e-05,6.166e-05,1.785e-05,5.189e-06,1.337e-05
uniform,200,35,260274,2.706e-05,3.335e-05,9.117e-07,1.446e-06,6.820e-06
uniform,300,41,530152,8.368e-06,1.064e-05,1.422e-06,3.800e-07,1.229e-06
uniform,600,45,1383454,2.106e-06,2.347e-06,8.672e-08,3.445e-09,3.234e-07
pruned,40,17,8608,1.733e-03,1.197e-04,1.021e-03,2.720e-04,2.362e-03
pruned,60,21,19876,1.109e-04,1.439e-04,9.854e-05,3.564e-06,1.351e-04
pruned,90,28,54880,3.287e-05,6.596e-05,3.847e-05,7.297e-06,1.926e-06
pruned,130,29,79526,3.597e-05,6.191e-05,1.772e-05,5.154e-06,1.337e-05
pruned,200,35,178050,2.706e-05,3.335e-05,9.117e-07,1.446e-06,6.820e-06
pruned,300,41,366460,8.368e-06,1.064e-05,1.422e-06,3.800e-07,1.229e-06
pruned,600,45,965422,2.155e-06,2.411e-06,6.571e-08,2.454e-09,3.234e-07
per-element,40,17,15380,1.664e-03,6.072e-04,1.061e-03,2.562e-04,1.861e-03
per-element,60,21,35668,1.066e-04,1.412e-04,9.421e-05,3.665e-06,1.324e-04
per-element,90,28,94934,3.270e-05,6.546e-05,3.757e-05,7.195e-06,2.388e-06
per-element,130,29,137128,3.607e-05,6.197e-05,1.760e-05,5.146e-06,1.345e-05
per-element,200,35,303670,2.706e-05,3.336e-05,9.444e-07,1.449e-06,6.808e-06
per-element,300,41,618538,8.370e-06,1.064e-05,1.414e-06,3.791e-07,1.231e-06
per-element,600,45,1614072,2.089e-06,2.316e-06,1.020e-07,5.608e-09,3.232e-07
both,40,17,10088,1.758e-03,2.396e-04,9.605e-04,2.504e-04,2.229e-03
both,60,21,23296,1.100e-04,1.438e-04,9.343e-05,3.766e-06,1.310e-04
both,90,28,64214,3.297e-05,6.584e-05,3.770e-05,7.220e-06,2.388e-06
both,130,29,92968,3.607e-05,6.197e-05,1.760e-05,5.146e-06,1.345e-05
both,200,35,207946,2.699e-05,3.326e-05,9.072e-07,1.441e-06,6.808e-06
both,300,41,428050,8.442e-06,1.075e-05,1.465e-06,3.877e-07,1.231e-06
both,600,45,1126740,2.083e-06,2.296e-06,1.161e-07,6.063e-09,3.232e-07
