# H2+ overlap integral S_AB convergence vs the exact analytic value
# S_AB(zeta=1,R) = e^{-R}(1 + R + R^2/3);  R=1 bohr, zeta=1
# system: H2+, two 1s STOs (one per atom); radial: Treutler-Ahlrichs; angular: Lebedev-Laikov
# radial sweep at fixed nang_order=59; angular sweep at fixed nrad=200
# S_exact=0.858385362733366 ; abs_error = |S_AB - S_exact|
sweep,param,npts,S_AB,abs_error
radial,10,23990,0.859122134805326,0.000736772071960434
radial,20,47982,0.858383667211934,1.69552143147733e-06
radial,30,71964,0.858385391682404,2.89490380556146e-08
radial,50,119946,0.85838536239023,3.43135519997873e-10
radial,75,179918,0.85838536272191,1.14550591234774e-11
radial,120,287864,0.858385362732986,3.79474229816879e-13
radial,200,479774,0.858385362733342,2.30926389122033e-14
angular,5,5414,0.848794055322486,0.00959130741087955
angular,10,19814,0.85843191182053,4.65490871642826e-05
angular,17,43814,0.858385374008631,1.12752656100668e-08
angular,23,77414,0.858385362733287,7.83817455385361e-14
angular,29,120614,0.858385362733326,3.97459842815806e-14
angular,35,173246,0.858385362733353,1.23234755733392e-14
angular,41,235302,0.858385362733348,1.79856129989275e-14
angular,53,388758,0.858385362733341,2.4535928844216e-14
