# Angular pruning-scheme comparison on water (unrestricted HF energy terms)
# radial scheme: TA-M4 ; angular: Lebedev-Laikov ; basis: QZ4P (+QZ4P fit) ; radial sizing=Uniform
# schemes: Unpruned, Treutler (fixed 7/11), Robust (7 / base-6)
# grid levels sweep (nrad, nang_order) together so curves converge
# observables (converged UHF, Ha): E_kin = Tr[D T] ; E_ne = Tr[D V_ne] ; E_J = 1/2 Tr[D J] ; E_K = -1/2 Tr[D K] (exact exchange) ; E_scf = E_nuc_rep + E_kin + E_ne + E_J + E_K
# resolution: hi-res (GPU, NUKEXC_HIRES=1)
# provenance: transcribed from the GPU run stdout of tests/convergence_pruning.cxx (only the
#   absolute per-term errors were printed, so the raw per-row energies are not recorded here;
#   re-running the test regenerates this file with full precision and raw energy columns)
# reference = fine uniform unpruned grid (shared self-reference, NOT analytic):
#   nrad_ref=1000, nang_order_ref=50, npts_ref=2917774, E_kin_ref=75.9976267410, E_ne_ref=-199.0472994426, E_J_ref=46.7402184304, E_K_ref=-8.9450726577, E_scf_ref=-76.0667767173 Ha
# err_* = |value - reference| ; npts = total grid points used
scheme,nrad,nang_order,npts,err_kin,err_ne,err_J,err_K,err_total
Unpruned,40,17,13180,1.658e-03,5.998e-04,1.109e-03,2.609e-04,1.907e-03
Unpruned,60,21,30568,1.072e-04,1.410e-04,9.941e-05,3.150e-06,1.364e-04
Unpruned,90,28,81376,3.287e-05,6.597e-05,3.847e-05,7.297e-06,1.926e-06
Unpruned,130,29,117542,3.577e-05,6.163e-05,1.763e-05,5.138e-06,1.337e-05
Unpruned,200,35,260274,2.706e-05,3.335e-05,9.117e-07,1.446e-06,6.820e-06
Unpruned,300,41,530152,8.368e-06,1.064e-05,1.422e-06,3.800e-07,1.229e-06
Unpruned,600,45,1383454,2.087e-06,2.311e-06,1.056e-07,5.965e-09,3.234e-07
Treutler,40,17,8392,1.736e-03,1.255e-04,1.020e-03,2.715e-04,2.360e-03
Treutler,60,21,17896,2.584e-05,1.789e-04,6.077e-05,2.668e-06,2.628e-04
Treutler,90,28,44368,1.268e-04,6.479e-05,1.368e-05,8.961e-06,6.668e-05
Treutler,130,29,64478,1.104e-04,7.325e-05,2.164e-07,5.021e-06,3.189e-05
Treutler,200,35,139098,3.473e-05,1.552e-05,1.399e-05,2.571e-06,3.882e-05
Treutler,300,41,278260,6.309e-05,3.081e-05,9.105e-06,1.231e-06,2.441e-05
Treutler,600,45,718822,4.620e-05,1.930e-05,8.165e-06,2.001e-06,2.073e-05
Robust,40,17,8608,1.733e-03,1.198e-04,1.021e-03,2.720e-04,2.362e-03
Robust,60,21,19876,1.108e-04,1.438e-04,9.860e-05,3.555e-06,1.351e-04
Robust,90,28,54880,3.287e-05,6.596e-05,3.847e-05,7.297e-06,1.926e-06
Robust,130,29,79526,3.597e-05,6.191e-05,1.772e-05,5.154e-06,1.337e-05
Robust,200,35,178050,2.706e-05,3.335e-05,9.117e-07,1.446e-06,6.820e-06
Robust,300,41,366460,8.368e-06,1.064e-05,1.422e-06,3.800e-07,1.229e-06
Robust,600,45,965422,2.155e-06,2.411e-06,6.571e-08,2.454e-09,3.234e-07
