# Radial-scheme convergence on a single H atom: Becke vs TA-M3 vs TA-M4
# observable: core-Hamiltonian lowest MO energy (Ha)
# basis: QZ4P (ADF Slater-type, input/zorabasis/QZ4P)
# angular: Lebedev-Laikov, fixed nang_order=29
# TA xi(H)=0.8 (element scaling); TA M3: alpha=0, M4: alpha=0.6
# E_ref = exact non-relativistic 1s energy of the hydrogen atom (analytic, NOT a self-reference):
#   E_exact = -0.5 Ha
# abs_error = |gs_energy - E_exact|
scheme,nrad,npts,gs_energy,abs_error
Becke,10,3020,-0.526243915794683,0.026243915794682993
Becke,20,6040,-0.499889138416535,0.00011086158346501618
Becke,40,12080,-0.500000064213592,6.421359199926258e-08
Becke,80,24160,-0.500000001030986,1.0309859632684493e-09
Becke,160,48320,-0.500000000066061,6.606104552275838e-11
Becke,320,96640,-0.500000000004181,4.180988888435877e-12
Becke,640,193280,-0.500000000000263,2.630118345336996e-13
TA-M3,10,3020,-0.499838055401876,0.00016194459812401973
TA-M3,20,6040,-0.499983150846368,1.6849153631981473e-05
TA-M3,40,12080,-0.499998949988205,1.0500117950118515e-06
TA-M3,80,24160,-0.499999941784451,5.821554899254622e-08
TA-M3,160,48320,-0.499999997025957,2.974043011860772e-09
TA-M3,320,96640,-0.499999999857665,1.4233497713789234e-10
TA-M3,640,193280,-0.499999999993607,6.392997242699039e-12
TA-M4,10,3020,-0.500003213264796,3.213264796020354e-06
TA-M4,20,6040,-0.500000051776459,5.1776459009111875e-08
TA-M4,40,12080,-0.500000000636085,6.360849624797993e-10
TA-M4,80,24160,-0.500000000006571,6.5709659935464515e-12
TA-M4,160,48320,-0.50000000000006,5.995204332975845e-14
TA-M4,320,96640,-0.500000000000002,1.9984014443252818e-15
TA-M4,640,193280,-0.500000000000001,9.992007221626409e-16
