% bin_start bin_end bin_center count
5.323450 7.179245 6.251348 53
7.179245 9.035040 8.107143 61
9.035040 10.890836 9.962938 128
10.890836 12.746631 11.818733 188
12.746631 14.602426 13.674528 245
14.602426 16.458221 15.530323 286
16.458221 18.314016 17.386119 356
18.314016 20.169811 19.241914 500
20.169811 22.025606 21.097709 515
22.025606 23.881402 22.953504 647
23.881402 25.737197 24.809299 649
25.737197 27.592992 26.665094 861
27.592992 29.448787 28.520889 1495
29.448787 31.304582 30.376685 1990
31.304582 33.160377 32.232480 2873
33.160377 35.016173 34.088275 3375
35.016173 36.871968 35.944070 4423
36.871968 38.727763 37.799865 4172
38.727763 40.583558 39.655660 3254
40.583558 42.439353 41.511456 2787
42.439353 44.295148 43.367251 3396
44.295148 46.150943 45.223046 7458
46.150943 48.006739 47.078841 5804
48.006739 49.862534 48.934636 8859
49.862534 51.718329 50.790431 6823
51.718329 53.574124 52.646226 7402
53.574124 55.429919 54.502022 7513
55.429919 57.285714 56.357817 5592
57.285714 59.141509 58.213612 6626
59.141509 60.997305 60.069407 6099
60.997305 62.853100 61.925202 5347
62.853100 64.708895 63.780997 8161
64.708895 66.564690 65.636792 8092
66.564690 68.420485 67.492588 11015
68.420485 70.276280 69.348383 5970
70.276280 72.132075 71.204178 728
72.132075 73.987871 73.059973 45
73.987871 75.843666 74.915768 19
75.843666 77.699461 76.771563 13
77.699461 79.555256 78.627358 3
79.555256 81.411051 80.483154 1
81.411051 83.266846 82.338949 3
83.266846 85.122642 84.194744 0
85.122642 86.978437 86.050539 0
86.978437 88.834232 87.906334 1
88.834232 90.690027 89.762129 0
90.690027 92.545822 91.617925 0
92.545822 94.401617 93.473720 0
94.401617 96.257412 95.329515 0
96.257412 98.113208 97.185310 1
